cluster_id,cluster_leader,canonical_name,name,frequency,score_to_leader,cluster_size,canonical_frequency,all_variants
318,Oral History Society,Oral History Society,International Oral History Association,1,100.0,2,4,"International Oral History Association, Oral History Society"
319,Eighteenth-Century Ireland Society,Eighteenth-Century Ireland Society,Eighteenth-Century Ireland Society,1,100.0,1,1,Eighteenth-Century Ireland Society
320,Marcial Pons,Marcial Pons,Marcial Pons Ediciones,1,70.58823529411764,2,1,"Marcial Pons, Marcial Pons Ediciones"
320,Marcial Pons,Marcial Pons,Marcial Pons,1,100.0,2,1,"Marcial Pons, Marcial Pons Ediciones"
321,History Today Ltd.,History Today Ltd.,History Today Ltd.,4,100.0,2,4,"British Association for Local History, History Today Ltd."
321,History Today Ltd.,History Today Ltd.,British Association for Local History,1,70.0,2,4,"British Association for Local History, History Today Ltd."
322,Dr. Rudolf Habelt GmbH,Dr. Rudolf Habelt GmbH,Dr. Rudolf Habelt GmbH,1,100.0,1,1,Dr. Rudolf Habelt GmbH
323,Ibero-Amerikanisches Institut PK/Vervuert,Ibero-Amerikanisches Institut PK/Vervuert,Ibero-Amerikanisches Institut PK/Vervuert,2,100.0,1,2,Ibero-Amerikanisches Institut PK/Vervuert
324,"Melbourne School of Continental Philosophy, and Philosophy at the University of Dundee","Melbourne School of Continental Philosophy, and Philosophy at the University of Dundee","Melbourne School of Continental Philosophy, and Philosophy at the University of Dundee",1,100.0,1,1,"Melbourne School of Continental Philosophy, and Philosophy at the University of Dundee"
325,The British Personalist Forum,The British Personalist Forum,The British Personalist Forum,1,100.0,1,1,The British Personalist Forum
326,Vrije Universiteit,Vrije Universiteit Brussel,Vrije Universiteit,1,100.0,2,4,"Vrije Universiteit, Vrije Universiteit Brussel"
326,Vrije Universiteit,Vrije Universiteit Brussel,Vrije Universiteit Brussel,4,81.81818181818181,2,4,"Vrije Universiteit, Vrije Universiteit Brussel"
327,Indiana University Press,Indiana University Press,Indiana University Press,2,100.0,1,2,Indiana University Press
328,University of Manchester,Manchester University Press,Manchester University Press,4,100.0,2,4,"Manchester University Press, University of Manchester"
328,University of Manchester,Manchester University Press,University of Manchester,1,100.0,2,4,"Manchester University Press, University of Manchester"
329,Christians in Science and Faith And Thought,Christians in Science and Faith And Thought,Christians in Science and Faith And Thought,4,100.0,2,4,"Christians in Science and Faith And Thought, Christians in Science; Faith and Thought (The Victoria Institute)"
329,Christians in Science and Faith And Thought,Christians in Science and Faith And Thought,Christians in Science; Faith and Thought (The Victoria Institute),1,87.67123287671232,2,4,"Christians in Science and Faith And Thought, Christians in Science; Faith and Thought (The Victoria Institute)"
330,Wellcome,Wellcome,Wellcome,4,100.0,1,4,Wellcome
331,Pacini Editore,Pacini Editore SpA,Pacini Editore,1,100.0,2,2,"Pacini Editore, Pacini Editore SpA"
331,Pacini Editore,Pacini Editore SpA,Pacini Editore SpA,2,87.5,2,2,"Pacini Editore, Pacini Editore SpA"
332,AME Publishing Company,AME Publishing Company,AME Publishing Company,6,100.0,1,6,AME Publishing Company
333,Medip Academy,Medip Academy,Medip Academy,3,100.0,1,3,Medip Academy
334,Lincoln University,Lincoln University,Lincoln University,1,100.0,1,1,Lincoln University
335,Association of Architectural Educators,Association of Architectural Educators,Association of Architectural Educators,2,100.0,2,2,"Association of Architectural Educators, association of architectural educators (aae)"
335,Association of Architectural Educators,Association of Architectural Educators,association of architectural educators (aae),1,92.0,2,2,"Association of Architectural Educators, association of architectural educators (aae)"
336,Network Design Lab - Transport Findings,Network Design Lab - Transport Findings,Network Design Lab - Transport Findings,1,100.0,1,1,Network Design Lab - Transport Findings
337,"Tallinn University Baltic Film, Media, Arts and Communication School","Tallinn University Baltic Film, Media, Arts and Communication School","Tallinn University Baltic Film, Media, Arts and Communication School",1,100.0,1,1,"Tallinn University Baltic Film, Media, Arts and Communication School"
338,Nature Portfolio,Nature Portfolio,Nature Portfolio,15,100.0,1,15,Nature Portfolio
339,European Association of Geochemistry,European Association of Geochemistry,European Association of Geochemistry,1,100.0,1,1,European Association of Geochemistry
340,McMaster University Library,McMaster University Library,McMaster University Library,1,100.0,1,1,McMaster University Library
341,RAISE Network,RAISE Network,RAISE network,3,100.0,2,7,"RAISE Network, RAISE network"
341,RAISE Network,RAISE Network,RAISE Network,7,100.0,2,7,"RAISE Network, RAISE network"
342,RAISE,RAISE,RAISE,2,100.0,1,2,RAISE
343,University of the Highlands and Islands,University of the Highlands and Islands,University of the Highlands and Islands,2,100.0,1,2,University of the Highlands and Islands
344,CRC Press,CRC Press,CRC Press,2,100.0,1,2,CRC Press
345,Institute of Advanced Engineering and Science,Institute of Advanced Engineering and Science,Institute of Advanced Engineering and Science,6,100.0,2,6,"Institute of Advanced Engineering and Science, Institute of Advanced Engineering and Science (IAES)"
345,Institute of Advanced Engineering and Science,Institute of Advanced Engineering and Science,Institute of Advanced Engineering and Science (IAES),1,91.80327868852459,2,6,"Institute of Advanced Engineering and Science, Institute of Advanced Engineering and Science (IAES)"
346,AboutScienceSrl,AboutScienceSrl,AboutScienceSrl,1,100.0,1,1,AboutScienceSrl
347,Michigan Publishing,Michigan Publishing,Michigan State University,1,100.0,4,3,"Michigan Publishing, Michigan State University, Michigan publishing, University of Michigan Press"
